Tarih,Saat,Basinc,Rakim,Sicaklik
6/11/2023,10:17:44,926.32,750.10,12.95
6/11/2023,10:17:50,926.39,749.53,12.96
6/11/2023,10:17:56,926.37,749.67,12.98
6/11/2023,10:18:2,926.37,749.71,12.99
6/11/2023,10:18:8,926.39,749.49,13.00
6/11/2023,10:18:14,926.36,749.80,13.01
6/11/2023,10:18:20,926.43,749.16,13.01
6/11/2023,10:18:26,926.43,749.19,13.02
6/11/2023,10:18:32,926.39,749.53,13.02
6/11/2023,10:18:38,926.43,749.19,13.03
6/11/2023,10:18:44,926.41,749.36,13.04
6/11/2023,10:18:50,926.38,749.57,13.05
6/11/2023,10:18:56,926.36,749.75,13.05
6/11/2023,10:19:2,926.41,749.36,13.06
6/11/2023,10:19:8,926.33,750.06,13.07
6/11/2023,10:19:14,926.38,749.62,13.08
6/11/2023,10:19:20,926.34,749.96,13.09
6/11/2023,10:19:26,926.37,749.67,13.10
6/11/2023,10:19:32,926.50,748.56,13.11
6/11/2023,10:19:39,926.45,748.99,13.14
6/11/2023,10:19:45,926.50,748.57,13.16
6/11/2023,10:19:51,926.46,748.92,13.18
6/11/2023,10:19:57,926.43,749.12,13.19
6/11/2023,10:20:3,926.38,749.60,13.20
6/11/2023,10:20:9,926.41,749.38,13.19
6/11/2023,10:20:15,926.37,749.67,13.20
6/11/2023,10:20:21,926.40,749.42,13.21
6/11/2023,10:20:27,926.42,749.24,13.21
6/11/2023,10:20:33,926.43,749.15,13.22
6/11/2023,10:20:39,926.43,749.13,13.23
6/11/2023,10:20:45,926.42,749.23,13.24
6/11/2023,10:20:51,926.37,749.66,13.25
6/11/2023,10:20:57,926.50,748.53,13.25
6/11/2023,10:21:3,926.37,749.68,13.27
6/11/2023,10:21:9,926.46,748.89,13.30
6/11/2023,10:21:15,926.37,749.67,13.33
6/11/2023,10:21:21,926.40,749.44,13.35
6/11/2023,10:21:27,926.44,749.05,13.37
6/11/2023,10:21:33,926.37,749.68,13.39
6/11/2023,10:21:39,926.40,749.39,13.41
6/11/2023,10:21:45,926.48,748.67,13.43
6/11/2023,10:21:51,926.43,749.13,13.45
6/11/2023,10:21:57,926.42,749.27,13.46
6/11/2023,10:22:3,926.46,748.90,13.49
6/11/2023,10:22:9,926.40,749.39,13.51
6/11/2023,10:22:15,926.46,748.91,13.52
6/11/2023,10:22:21,926.42,749.23,13.54
6/11/2023,10:22:27,926.51,748.45,13.56
6/11/2023,10:22:33,926.44,749.06,13.58
6/11/2023,10:22:39,926.46,748.90,13.59
6/11/2023,10:22:45,926.37,749.67,13.61
6/11/2023,10:22:51,926.42,749.23,13.63
6/11/2023,10:22:57,926.41,749.37,13.65
6/11/2023,10:23:3,926.43,749.13,13.66
6/11/2023,10:23:9,926.47,748.82,13.68
6/11/2023,10:23:15,926.38,749.56,13.71
6/11/2023,10:23:21,926.37,749.69,13.72
6/11/2023,10:23:27,926.41,749.30,13.75
6/11/2023,10:23:33,926.37,749.66,13.77
6/11/2023,10:23:39,926.41,749.31,13.79
6/11/2023,10:23:45,926.47,748.80,13.81
6/11/2023,10:23:51,926.50,748.50,13.83
6/11/2023,10:23:57,926.42,749.23,13.85
6/11/2023,10:24:3,926.45,748.96,13.86
6/11/2023,10:24:9,926.40,749.39,13.88
6/11/2023,10:24:15,926.41,749.35,13.89
6/11/2023,10:24:21,926.42,749.25,13.91
6/11/2023,10:24:27,926.44,749.09,13.93
6/11/2023,10:24:33,926.43,749.14,13.96
6/11/2023,10:24:39,926.37,749.67,13.97
6/11/2023,10:24:45,926.37,749.66,13.98
6/11/2023,10:24:51,926.39,749.49,14.01
6/11/2023,10:24:57,926.48,748.70,14.04
6/11/2023,10:25:3,926.46,748.86,14.05
6/11/2023,10:25:9,926.45,748.94,14.07
6/11/2023,10:25:15,926.40,749.43,14.09
6/11/2023,10:25:21,926.45,748.96,14.11
6/11/2023,10:25:27,926.43,749.12,14.13
6/11/2023,10:25:33,926.50,748.55,14.15
6/11/2023,10:25:39,926.48,748.74,14.21
6/11/2023,10:25:45,926.41,749.37,14.27
6/11/2023,10:25:51,926.45,748.95,14.21
6/11/2023,10:25:57,926.47,748.84,14.23
6/11/2023,10:26:3,926.42,749.24,14.23
6/11/2023,10:26:9,926.41,749.38,14.26
6/11/2023,10:26:16,926.44,749.09,14.34
6/11/2023,10:26:22,926.39,749.55,14.39
6/11/2023,10:26:28,926.42,749.23,14.46
6/11/2023,10:26:34,926.41,749.30,14.50
6/11/2023,10:26:40,926.43,749.14,14.56
6/11/2023,10:26:46,926.50,748.57,14.60
6/11/2023,10:26:52,-0.00,nan,42.50
6/11/2023,10:26:58,-0.00,nan,42.50
6/11/2023,10:27:4,-0.00,nan,42.50
6/11/2023,10:27:10,-0.00,nan,42.50
6/11/2023,10:27:16,-0.00,nan,42.50
